Spin Correlations values from pickles/*.pickle
For inp values for each row see inp_readme.csv

Temp,n_samples,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,mean_d6,mean_d7,mean_d8,mean_d9,mean_d10,mean_d11,mean_d12,mean_d13,mean_d14,mean_d15,mean_d16,mean_d17,mean_d18,mean_d19,mean_d20,mean_d21,mean_d22,mean_d23,mean_d24,mean_d25,mean_d26,mean_d27,mean_d28,mean_d29,mean_d30,mean_d31,mean_d32,mean_d33,mean_d34,mean_d35,mean_d36,mean_d37,mean_d38,mean_d39,mean_d40,mean_d41,mean_d42,mean_d43,mean_d44,mean_d45,mean_d46,mean_d47,mean_d48,mean_d49,std_d1,std_d2,std_d3,std_d4,std_d5,std_d6,std_d7,std_d8,std_d9,std_d10,std_d11,std_d12,std_d13,std_d14,std_d15,std_d16,std_d17,std_d18,std_d19,std_d20,std_d21,std_d22,std_d23,std_d24,std_d25,std_d26,std_d27,std_d28,std_d29,std_d30,std_d31,std_d32,std_d33,std_d34,std_d35,std_d36,std_d37,std_d38,std_d39,std_d40,std_d41,std_d42,std_d43,std_d44,std_d45,std_d46,std_d47,std_d48,std_d49
0.42,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.43,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47,500.0,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,0.0,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,5.0233583069015945e-09,0.0
0.48,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.49,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,500.0,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,0.0,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,8.683258009620799e-09,0.0
0.51,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,500.0,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,0.0,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,0.0
0.53,500.0,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,-4.4975280388825924e-10,0.0,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,7.096979538277658e-09,0.0
0.54,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,500.0,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,-5.554199162816075e-10,0.0,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,8.922203440157082e-09,0.0
0.56,500.0,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,-2.2487640194412962e-10,0.0,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,5.023358306901593e-09,0.0
0.57,500.0,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,-1.799011215553037e-09,0.0,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,1.410819418818957e-08,0.0
0.58,500.0,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,-6.746292058323888e-10,0.0,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,8.683258009620847e-09,0.0
